,month,date,sunrise,sunset
0,1,"Fri, January 1",6:13,18:21
1,1,"Sat, January 2",6:14,18:22
2,1,"Sun, January 3",6:14,18:22
3,1,"Mon, January 4",6:15,18:23
4,1,"Tue, January 5",6:15,18:23
5,1,"Wed, January 6",6:16,18:24
6,1,"Thu, January 7",6:16,18:24
7,1,"Fri, January 8",6:16,18:25
8,1,"Sat, January 9",6:17,18:25
9,1,"Sun, January 10",6:17,18:25
10,1,"Mon, January 11",6:18,18:26
11,1,"Tue, January 12",6:18,18:26
12,1,"Wed, January 13",6:18,18:26
13,1,"Thu, January 14",6:19,18:27
14,1,"Fri, January 15",6:19,18:27
15,1,"Sat, January 16",6:20,18:28
16,1,"Sun, January 17",6:20,18:28
17,1,"Mon, January 18",6:20,18:28
18,1,"Tue, January 19",6:20,18:28
19,1,"Wed, January 20",6:21,18:29
20,1,"Thu, January 21",6:21,18:29
21,1,"Fri, January 22",6:21,18:29
22,1,"Sat, January 23",6:22,18:29
23,1,"Sun, January 24",6:22,18:30
24,1,"Mon, January 25",6:22,18:30
25,1,"Tue, January 26",6:22,18:30
26,1,"Wed, January 27",6:23,18:30
27,1,"Thu, January 28",6:23,18:31
28,1,"Fri, January 29",6:23,18:31
29,1,"Sat, January 30",6:23,18:31
30,1,"Sun, January 31",6:23,18:31
31,2,"Mon, February 1",6:23,18:31
32,2,"Tue, February 2",6:24,18:31
33,2,"Wed, February 3",6:24,18:31
34,2,"Thu, February 4",6:24,18:31
35,2,"Fri, February 5",6:24,18:31
36,2,"Sat, February 6",6:24,18:31
37,2,"Sun, February 7",6:24,18:32
38,2,"Mon, February 8",6:24,18:32
39,2,"Tue, February 9",6:24,18:32
40,2,"Wed, February 10",6:24,18:32
41,2,"Thu, February 11",6:24,18:32
42,2,"Fri, February 12",6:24,18:32
43,2,"Sat, February 13",6:24,18:31
44,2,"Sun, February 14",6:24,18:31
45,2,"Mon, February 15",6:24,18:31
46,2,"Tue, February 16",6:24,18:31
47,2,"Wed, February 17",6:24,18:31
48,2,"Thu, February 18",6:24,18:31
49,2,"Fri, February 19",6:24,18:31
50,2,"Sat, February 20",6:24,18:31
51,2,"Sun, February 21",6:23,18:31
52,2,"Mon, February 22",6:23,18:31
53,2,"Tue, February 23",6:23,18:30
54,2,"Wed, February 24",6:23,18:30
55,2,"Thu, February 25",6:23,18:30
56,2,"Fri, February 26",6:23,18:30
57,2,"Sat, February 27",6:23,18:30
58,2,"Sun, February 28",6:22,18:30
59,3,"Mon, March 1",6:22,18:29
60,3,"Tue, March 2",6:22,18:29
61,3,"Wed, March 3",6:22,18:29
62,3,"Thu, March 4",6:22,18:29
63,3,"Fri, March 5",6:21,18:28
64,3,"Sat, March 6",6:21,18:28
65,3,"Sun, March 7",6:21,18:28
66,3,"Mon, March 8",6:21,18:28
67,3,"Tue, March 9",6:21,18:27
68,3,"Wed, March 10",6:20,18:27
69,3,"Thu, March 11",6:20,18:27
70,3,"Fri, March 12",6:20,18:27
71,3,"Sat, March 13",6:19,18:26
72,3,"Sun, March 14",6:19,18:26
73,3,"Mon, March 15",6:19,18:26
74,3,"Tue, March 16",6:19,18:26
75,3,"Wed, March 17",6:18,18:25
76,3,"Thu, March 18",6:18,18:25
77,3,"Fri, March 19",6:18,18:25
78,3,"Sat, March 20",6:18,18:24
79,3,"Sun, March 21",6:17,18:24
80,3,"Mon, March 22",6:17,18:24
81,3,"Tue, March 23",6:17,18:23
82,3,"Wed, March 24",6:16,18:23
83,3,"Thu, March 25",6:16,18:23
84,3,"Fri, March 26",6:16,18:22
85,3,"Sat, March 27",6:15,18:22
86,3,"Sun, March 28",6:15,18:22
87,3,"Mon, March 29",6:15,18:22
88,3,"Tue, March 30",6:15,18:21
89,3,"Wed, March 31",6:14,18:21
90,4,"Thu, April 1",6:14,18:21
91,4,"Fri, April 2",6:14,18:20
92,4,"Sat, April 3",6:13,18:20
93,4,"Sun, April 4",6:13,18:20
94,4,"Mon, April 5",6:13,18:19
95,4,"Tue, April 6",6:13,18:19
96,4,"Wed, April 7",6:12,18:19
97,4,"Thu, April 8",6:12,18:19
98,4,"Fri, April 9",6:12,18:18
99,4,"Sat, April 10",6:11,18:18
100,4,"Sun, April 11",6:11,18:18
101,4,"Mon, April 12",6:11,18:18
102,4,"Tue, April 13",6:11,18:17
103,4,"Wed, April 14",6:10,18:17
104,4,"Thu, April 15",6:10,18:17
105,4,"Fri, April 16",6:10,18:17
106,4,"Sat, April 17",6:10,18:16
107,4,"Sun, April 18",6:10,18:16
108,4,"Mon, April 19",6:09,18:16
109,4,"Tue, April 20",6:09,18:16
110,4,"Wed, April 21",6:09,18:15
111,4,"Thu, April 22",6:09,18:15
112,4,"Fri, April 23",6:09,18:15
113,4,"Sat, April 24",6:08,18:15
114,4,"Sun, April 25",6:08,18:15
115,4,"Mon, April 26",6:08,18:15
116,4,"Tue, April 27",6:08,18:14
117,4,"Wed, April 28",6:08,18:14
118,4,"Thu, April 29",6:08,18:14
119,4,"Fri, April 30",6:08,18:14
120,5,"Sat, May 1",6:07,18:14
121,5,"Sun, May 2",6:07,18:14
122,5,"Mon, May 3",6:07,18:14
123,5,"Tue, May 4",6:07,18:14
124,5,"Wed, May 5",6:07,18:14
125,5,"Thu, May 6",6:07,18:13
126,5,"Fri, May 7",6:07,18:13
127,5,"Sat, May 8",6:07,18:13
128,5,"Sun, May 9",6:07,18:13
129,5,"Mon, May 10",6:07,18:13
130,5,"Tue, May 11",6:07,18:13
131,5,"Wed, May 12",6:07,18:13
132,5,"Thu, May 13",6:07,18:13
133,5,"Fri, May 14",6:07,18:13
134,5,"Sat, May 15",6:07,18:13
135,5,"Sun, May 16",6:07,18:13
136,5,"Mon, May 17",6:07,18:13
137,5,"Tue, May 18",6:07,18:13
138,5,"Wed, May 19",6:07,18:13
139,5,"Thu, May 20",6:07,18:13
140,5,"Fri, May 21",6:07,18:14
141,5,"Sat, May 22",6:07,18:14
142,5,"Sun, May 23",6:07,18:14
143,5,"Mon, May 24",6:07,18:14
144,5,"Tue, May 25",6:07,18:14
145,5,"Wed, May 26",6:07,18:14
146,5,"Thu, May 27",6:08,18:14
147,5,"Fri, May 28",6:08,18:14
148,5,"Sat, May 29",6:08,18:14
149,5,"Sun, May 30",6:08,18:15
150,5,"Mon, May 31",6:08,18:15
151,6,"Tue, June 1",6:08,18:15
152,6,"Wed, June 2",6:08,18:15
153,6,"Thu, June 3",6:09,18:15
154,6,"Fri, June 4",6:09,18:15
155,6,"Sat, June 5",6:09,18:15
156,6,"Sun, June 6",6:09,18:16
157,6,"Mon, June 7",6:09,18:16
158,6,"Tue, June 8",6:09,18:16
159,6,"Wed, June 9",6:10,18:16
160,6,"Thu, June 10",6:10,18:16
161,6,"Fri, June 11",6:10,18:17
162,6,"Sat, June 12",6:10,18:17
163,6,"Sun, June 13",6:10,18:17
164,6,"Mon, June 14",6:11,18:17
165,6,"Tue, June 15",6:11,18:17
166,6,"Wed, June 16",6:11,18:18
167,6,"Thu, June 17",6:11,18:18
168,6,"Fri, June 18",6:12,18:18
169,6,"Sat, June 19",6:12,18:18
170,6,"Sun, June 20",6:12,18:19
171,6,"Mon, June 21",6:12,18:19
172,6,"Tue, June 22",6:12,18:19
173,6,"Wed, June 23",6:13,18:19
174,6,"Thu, June 24",6:13,18:19
175,6,"Fri, June 25",6:13,18:20
176,6,"Sat, June 26",6:13,18:20
177,6,"Sun, June 27",6:13,18:20
178,6,"Mon, June 28",6:14,18:20
179,6,"Tue, June 29",6:14,18:20
180,6,"Wed, June 30",6:14,18:21
181,7,"Thu, July 1",6:14,18:21
182,7,"Fri, July 2",6:14,18:21
183,7,"Sat, July 3",6:15,18:21
184,7,"Sun, July 4",6:15,18:21
185,7,"Mon, July 5",6:15,18:22
186,7,"Tue, July 6",6:15,18:22
187,7,"Wed, July 7",6:15,18:22
188,7,"Thu, July 8",6:16,18:22
189,7,"Fri, July 9",6:16,18:22
190,7,"Sat, July 10",6:16,18:22
191,7,"Sun, July 11",6:16,18:22
192,7,"Mon, July 12",6:16,18:23
193,7,"Tue, July 13",6:16,18:23
194,7,"Wed, July 14",6:16,18:23
195,7,"Thu, July 15",6:16,18:23
196,7,"Fri, July 16",6:16,18:23
197,7,"Sat, July 17",6:17,18:23
198,7,"Sun, July 18",6:17,18:23
199,7,"Mon, July 19",6:17,18:23
200,7,"Tue, July 20",6:17,18:23
201,7,"Wed, July 21",6:17,18:23
202,7,"Thu, July 22",6:17,18:23
203,7,"Fri, July 23",6:17,18:23
204,7,"Sat, July 24",6:17,18:23
205,7,"Sun, July 25",6:17,18:23
206,7,"Mon, July 26",6:17,18:23
207,7,"Tue, July 27",6:17,18:23
208,7,"Wed, July 28",6:17,18:23
209,7,"Thu, July 29",6:17,18:23
210,7,"Fri, July 30",6:17,18:23
211,7,"Sat, July 31",6:17,18:23
212,8,"Sun, August 1",6:17,18:23
213,8,"Mon, August 2",6:17,18:23
214,8,"Tue, August 3",6:17,18:23
215,8,"Wed, August 4",6:16,18:23
216,8,"Thu, August 5",6:16,18:23
217,8,"Fri, August 6",6:16,18:23
218,8,"Sat, August 7",6:16,18:23
219,8,"Sun, August 8",6:16,18:22
220,8,"Mon, August 9",6:16,18:22
221,8,"Tue, August 10",6:16,18:22
222,8,"Wed, August 11",6:15,18:22
223,8,"Thu, August 12",6:15,18:22
224,8,"Fri, August 13",6:15,18:22
225,8,"Sat, August 14",6:15,18:21
226,8,"Sun, August 15",6:15,18:21
227,8,"Mon, August 16",6:15,18:21
228,8,"Tue, August 17",6:14,18:21
229,8,"Wed, August 18",6:14,18:21
230,8,"Thu, August 19",6:14,18:20
231,8,"Fri, August 20",6:14,18:20
232,8,"Sat, August 21",6:13,18:20
233,8,"Sun, August 22",6:13,18:20
234,8,"Mon, August 23",6:13,18:19
235,8,"Tue, August 24",6:13,18:19
236,8,"Wed, August 25",6:12,18:19
237,8,"Thu, August 26",6:12,18:19
238,8,"Fri, August 27",6:12,18:18
239,8,"Sat, August 28",6:11,18:18
240,8,"Sun, August 29",6:11,18:18
241,8,"Mon, August 30",6:11,18:17
242,8,"Tue, August 31",6:10,18:17
243,9,"Wed, September 1",6:10,18:17
244,9,"Thu, September 2",6:10,18:16
245,9,"Fri, September 3",6:10,18:16
246,9,"Sat, September 4",6:09,18:16
247,9,"Sun, September 5",6:09,18:15
248,9,"Mon, September 6",6:08,18:15
249,9,"Tue, September 7",6:08,18:15
250,9,"Wed, September 8",6:08,18:14
251,9,"Thu, September 9",6:07,18:14
252,9,"Fri, September 10",6:07,18:14
253,9,"Sat, September 11",6:07,18:13
254,9,"Sun, September 12",6:06,18:13
255,9,"Mon, September 13",6:06,18:13
256,9,"Tue, September 14",6:06,18:12
257,9,"Wed, September 15",6:05,18:12
258,9,"Thu, September 16",6:05,18:12
259,9,"Fri, September 17",6:05,18:11
260,9,"Sat, September 18",6:04,18:11
261,9,"Sun, September 19",6:04,18:11
262,9,"Mon, September 20",6:03,18:10
263,9,"Tue, September 21",6:03,18:10
264,9,"Wed, September 22",6:03,18:10
265,9,"Thu, September 23",6:02,18:09
266,9,"Fri, September 24",6:02,18:09
267,9,"Sat, September 25",6:02,18:09
268,9,"Sun, September 26",6:01,18:08
269,9,"Mon, September 27",6:01,18:08
270,9,"Tue, September 28",6:01,18:08
271,9,"Wed, September 29",6:00,18:07
272,9,"Thu, September 30",6:00,18:07
273,10,"Fri, October 1",6:00,18:07
274,10,"Sat, October 2",5:59,18:06
275,10,"Sun, October 3",5:59,18:06
276,10,"Mon, October 4",5:59,18:06
277,10,"Tue, October 5",5:58,18:05
278,10,"Wed, October 6",5:58,18:05
279,10,"Thu, October 7",5:58,18:05
280,10,"Fri, October 8",5:57,18:05
281,10,"Sat, October 9",5:57,18:04
282,10,"Sun, October 10",5:57,18:04
283,10,"Mon, October 11",5:57,18:04
284,10,"Tue, October 12",5:56,18:04
285,10,"Wed, October 13",5:56,18:03
286,10,"Thu, October 14",5:56,18:03
287,10,"Fri, October 15",5:56,18:03
288,10,"Sat, October 16",5:55,18:03
289,10,"Sun, October 17",5:55,18:02
290,10,"Mon, October 18",5:55,18:02
291,10,"Tue, October 19",5:55,18:02
292,10,"Wed, October 20",5:55,18:02
293,10,"Thu, October 21",5:55,18:02
294,10,"Fri, October 22",5:54,18:02
295,10,"Sat, October 23",5:54,18:02
296,10,"Sun, October 24",5:54,18:01
297,10,"Mon, October 25",5:54,18:01
298,10,"Tue, October 26",5:54,18:01
299,10,"Wed, October 27",5:54,18:01
300,10,"Thu, October 28",5:54,18:01
301,10,"Fri, October 29",5:54,18:01
302,10,"Sat, October 30",5:53,18:01
303,10,"Sun, October 31",5:53,18:01
304,11,"Mon, November 1",5:53,18:01
305,11,"Tue, November 2",5:53,18:01
306,11,"Wed, November 3",5:53,18:01
307,11,"Thu, November 4",5:53,18:01
308,11,"Fri, November 5",5:53,18:01
309,11,"Sat, November 6",5:53,18:01
310,11,"Sun, November 7",5:53,18:01
311,11,"Mon, November 8",5:54,18:01
312,11,"Tue, November 9",5:54,18:01
313,11,"Wed, November 10",5:54,18:01
314,11,"Thu, November 11",5:54,18:02
315,11,"Fri, November 12",5:54,18:02
316,11,"Sat, November 13",5:54,18:02
317,11,"Sun, November 14",5:54,18:02
318,11,"Mon, November 15",5:54,18:02
319,11,"Tue, November 16",5:55,18:02
320,11,"Wed, November 17",5:55,18:03
321,11,"Thu, November 18",5:55,18:03
322,11,"Fri, November 19",5:55,18:03
323,11,"Sat, November 20",5:55,18:03
324,11,"Sun, November 21",5:56,18:04
325,11,"Mon, November 22",5:56,18:04
326,11,"Tue, November 23",5:56,18:04
327,11,"Wed, November 24",5:56,18:04
328,11,"Thu, November 25",5:57,18:05
329,11,"Fri, November 26",5:57,18:05
330,11,"Sat, November 27",5:57,18:05
331,11,"Sun, November 28",5:58,18:06
332,11,"Mon, November 29",5:58,18:06
333,11,"Tue, November 30",5:58,18:06
334,12,"Wed, December 1",5:59,18:07
335,12,"Thu, December 2",5:59,18:07
336,12,"Fri, December 3",6:00,18:08
337,12,"Sat, December 4",6:00,18:08
338,12,"Sun, December 5",6:00,18:08
339,12,"Mon, December 6",6:01,18:09
340,12,"Tue, December 7",6:01,18:09
341,12,"Wed, December 8",6:02,18:10
342,12,"Thu, December 9",6:02,18:10
343,12,"Fri, December 10",6:02,18:11
344,12,"Sat, December 11",6:03,18:11
345,12,"Sun, December 12",6:03,18:12
346,12,"Mon, December 13",6:04,18:12
347,12,"Tue, December 14",6:04,18:13
348,12,"Wed, December 15",6:05,18:13
349,12,"Thu, December 16",6:05,18:14
350,12,"Fri, December 17",6:06,18:14
351,12,"Sat, December 18",6:06,18:15
352,12,"Sun, December 19",6:07,18:15
353,12,"Mon, December 20",6:07,18:16
354,12,"Tue, December 21",6:08,18:16
355,12,"Wed, December 22",6:08,18:17
356,12,"Thu, December 23",6:09,18:17
357,12,"Fri, December 24",6:09,18:18
358,12,"Sat, December 25",6:10,18:18
359,12,"Sun, December 26",6:10,18:18
360,12,"Mon, December 27",6:11,18:19
361,12,"Tue, December 28",6:11,18:19
362,12,"Wed, December 29",6:12,18:20
363,12,"Thu, December 30",6:12,18:20
364,12,"Fri, December 31",6:13,18:21
